date,skill_abr,skill_count
"2018-07-01 00:00:00","python","17869"
"2018-07-01 00:00:00","java","11691"
"2018-07-01 00:00:00","sql","4589"
"2018-07-01 00:00:00","reactjs","4152"
"2018-07-01 00:00:00","node.js","4150"
"2018-07-01 00:00:00","spring-boot","1704"
"2018-07-01 00:00:00","docker","1460"
"2018-07-01 00:00:00","flutter","720"
"2018-07-01 00:00:00","machine-learning","661"
"2018-07-01 00:00:00","kubernetes","657"
"2018-07-01 00:00:00","deep-learning","292"
"2018-07-01 00:00:00","solidity","50"
"2018-08-01 00:00:00","python","17677"
"2018-08-01 00:00:00","java","11244"
"2018-08-01 00:00:00","sql","4457"
"2018-08-01 00:00:00","reactjs","4417"
"2018-08-01 00:00:00","node.js","4204"
"2018-08-01 00:00:00","spring-boot","1749"
"2018-08-01 00:00:00","docker","1423"
"2018-08-01 00:00:00","flutter","816"
"2018-08-01 00:00:00","kubernetes","655"
"2018-08-01 00:00:00","machine-learning","591"
"2018-08-01 00:00:00","deep-learning","280"
"2018-08-01 00:00:00","solidity","68"
"2018-09-01 00:00:00","python","15957"
"2018-09-01 00:00:00","java","10664"
"2018-09-01 00:00:00","reactjs","4054"
"2018-09-01 00:00:00","node.js","3899"
"2018-09-01 00:00:00","sql","3815"
"2018-09-01 00:00:00","spring-boot","1645"
"2018-09-01 00:00:00","docker","1316"
"2018-09-01 00:00:00","flutter","800"
"2018-09-01 00:00:00","kubernetes","603"
"2018-09-01 00:00:00","machine-learning","452"
"2018-09-01 00:00:00","deep-learning","221"
"2018-09-01 00:00:00","solidity","43"
"2018-10-01 00:00:00","python","18073"
"2018-10-01 00:00:00","java","12452"
"2018-10-01 00:00:00","sql","4431"
"2018-10-01 00:00:00","reactjs","4356"
"2018-10-01 00:00:00","node.js","4242"
"2018-10-01 00:00:00","spring-boot","1846"
"2018-10-01 00:00:00","docker","1491"
"2018-10-01 00:00:00","flutter","861"
"2018-10-01 00:00:00","kubernetes","779"
"2018-10-01 00:00:00","machine-learning","559"
"2018-10-01 00:00:00","deep-learning","232"
"2018-10-01 00:00:00","solidity","37"
"2018-11-01 00:00:00","python","17927"
"2018-11-01 00:00:00","java","11649"
"2018-11-01 00:00:00","sql","4170"
"2018-11-01 00:00:00","reactjs","4083"
"2018-11-01 00:00:00","node.js","3902"
"2018-11-01 00:00:00","spring-boot","1664"
"2018-11-01 00:00:00","docker","1380"
"2018-11-01 00:00:00","flutter","773"
"2018-11-01 00:00:00","kubernetes","697"
"2018-11-01 00:00:00","machine-learning","544"
"2018-11-01 00:00:00","deep-learning","256"
"2018-11-01 00:00:00","solidity","49"
"2018-12-01 00:00:00","python","15654"
"2018-12-01 00:00:00","java","10390"
"2018-12-01 00:00:00","reactjs","3876"
"2018-12-01 00:00:00","node.js","3594"
"2018-12-01 00:00:00","sql","3585"
"2018-12-01 00:00:00","spring-boot","1582"
"2018-12-01 00:00:00","docker","1300"
"2018-12-01 00:00:00","flutter","985"
"2018-12-01 00:00:00","kubernetes","657"
"2018-12-01 00:00:00","machine-learning","542"
"2018-12-01 00:00:00","deep-learning","306"
"2018-12-01 00:00:00","solidity","51"
"2019-01-01 00:00:00","python","16879"
"2019-01-01 00:00:00","java","10973"
"2019-01-01 00:00:00","reactjs","4481"
"2019-01-01 00:00:00","node.js","4083"
"2019-01-01 00:00:00","sql","4058"
"2019-01-01 00:00:00","spring-boot","1745"
"2019-01-01 00:00:00","docker","1567"
"2019-01-01 00:00:00","flutter","1345"
"2019-01-01 00:00:00","kubernetes","727"
"2019-01-01 00:00:00","machine-learning","503"
"2019-01-01 00:00:00","deep-learning","320"
"2019-01-01 00:00:00","solidity","56"
"2019-02-01 00:00:00","python","17465"
"2019-02-01 00:00:00","java","10935"
"2019-02-01 00:00:00","reactjs","4486"
"2019-02-01 00:00:00","sql","4226"
"2019-02-01 00:00:00","node.js","3876"
"2019-02-01 00:00:00","spring-boot","1696"
"2019-02-01 00:00:00","docker","1374"
"2019-02-01 00:00:00","flutter","1284"
"2019-02-01 00:00:00","kubernetes","700"
"2019-02-01 00:00:00","machine-learning","533"
"2019-02-01 00:00:00","deep-learning","284"
"2019-02-01 00:00:00","solidity","52"
"2019-03-01 00:00:00","python","19818"
"2019-03-01 00:00:00","java","11973"
"2019-03-01 00:00:00","reactjs","5025"
"2019-03-01 00:00:00","sql","4617"
"2019-03-01 00:00:00","node.js","4261"
"2019-03-01 00:00:00","spring-boot","1877"
"2019-03-01 00:00:00","docker","1623"
"2019-03-01 00:00:00","flutter","1426"
"2019-03-01 00:00:00","kubernetes","820"
"2019-03-01 00:00:00","machine-learning","569"
"2019-03-01 00:00:00","deep-learning","340"
"2019-03-01 00:00:00","solidity","43"
"2019-04-01 00:00:00","python","19750"
"2019-04-01 00:00:00","java","11102"
"2019-04-01 00:00:00","reactjs","4628"
"2019-04-01 00:00:00","sql","4238"
"2019-04-01 00:00:00","node.js","4195"
"2019-04-01 00:00:00","spring-boot","1742"
"2019-04-01 00:00:00","docker","1474"
"2019-04-01 00:00:00","flutter","1418"
"2019-04-01 00:00:00","kubernetes","780"
"2019-04-01 00:00:00","machine-learning","606"
"2019-04-01 00:00:00","deep-learning","367"
"2019-04-01 00:00:00","solidity","41"
"2019-05-01 00:00:00","python","18818"
"2019-05-01 00:00:00","java","11018"
"2019-05-01 00:00:00","reactjs","4958"
"2019-05-01 00:00:00","node.js","4183"
"2019-05-01 00:00:00","sql","4110"
"2019-05-01 00:00:00","spring-boot","1741"
"2019-05-01 00:00:00","docker","1591"
"2019-05-01 00:00:00","flutter","1567"
"2019-05-01 00:00:00","kubernetes","784"
"2019-05-01 00:00:00","machine-learning","749"
"2019-05-01 00:00:00","deep-learning","334"
"2019-05-01 00:00:00","solidity","32"
"2019-06-01 00:00:00","python","17152"
"2019-06-01 00:00:00","java","9576"
"2019-06-01 00:00:00","reactjs","4511"
"2019-06-01 00:00:00","node.js","3836"
"2019-06-01 00:00:00","sql","3570"
"2019-06-01 00:00:00","spring-boot","1638"
"2019-06-01 00:00:00","flutter","1429"
"2019-06-01 00:00:00","docker","1399"
"2019-06-01 00:00:00","kubernetes","675"
"2019-06-01 00:00:00","machine-learning","524"
"2019-06-01 00:00:00","deep-learning","297"
"2019-06-01 00:00:00","solidity","22"
"2019-07-01 00:00:00","python","19650"
"2019-07-01 00:00:00","java","10774"
"2019-07-01 00:00:00","reactjs","5097"
"2019-07-01 00:00:00","node.js","4202"
"2019-07-01 00:00:00","sql","4138"
"2019-07-01 00:00:00","spring-boot","1829"
"2019-07-01 00:00:00","flutter","1725"
"2019-07-01 00:00:00","docker","1495"
"2019-07-01 00:00:00","kubernetes","789"
"2019-07-01 00:00:00","machine-learning","605"
"2019-07-01 00:00:00","deep-learning","358"
"2019-07-01 00:00:00","solidity","44"
"2019-08-01 00:00:00","python","17938"
"2019-08-01 00:00:00","java","9029"
"2019-08-01 00:00:00","reactjs","5016"
"2019-08-01 00:00:00","node.js","3856"
"2019-08-01 00:00:00","sql","3596"
"2019-08-01 00:00:00","flutter","1862"
"2019-08-01 00:00:00","spring-boot","1698"
"2019-08-01 00:00:00","docker","1460"
"2019-08-01 00:00:00","kubernetes","700"
"2019-08-01 00:00:00","machine-learning","474"
"2019-08-01 00:00:00","deep-learning","302"
"2019-08-01 00:00:00","solidity","25"
"2019-09-01 00:00:00","python","16803"
"2019-09-01 00:00:00","java","9607"
"2019-09-01 00:00:00","reactjs","4938"
"2019-09-01 00:00:00","sql","3934"
"2019-09-01 00:00:00","node.js","3728"
"2019-09-01 00:00:00","flutter","1830"
"2019-09-01 00:00:00","spring-boot","1700"
"2019-09-01 00:00:00","docker","1525"
"2019-09-01 00:00:00","kubernetes","799"
"2019-09-01 00:00:00","machine-learning","443"
"2019-09-01 00:00:00","deep-learning","259"
"2019-09-01 00:00:00","solidity","34"
"2019-10-01 00:00:00","python","20349"
"2019-10-01 00:00:00","java","11136"
"2019-10-01 00:00:00","reactjs","5394"
"2019-10-01 00:00:00","sql","4398"
